SID,Name,email,age,score,C_ID
11,Ankit,a1@gmail.com,23,87,219
12,Peeyush,a2@gmail.com,24,75,220
13,Gaurav,a3@gmail.com,22,93,215
14,Lakshya,a4@gmail.com,25,65,220
15,Paritosh,a5@gmail.com,22,70,216
16,Ujjwal,a6@gmail.com,24,89,215
17,Neha,a7@gmail.com,24,91,217
18,Shreya,a8@gmail.com,25,58,221
19,Mudit,a9@gmail.com,22,64,219
20,Shrishti,a10@gmail.com,21,64,220
21,Smriti,a11@gmail.com,24,77,215
22,Garima,a12@gmail.com,25,82,216
23,Akshay,a13@gmail.com,21,62,218
24,Ayush,a14@gmail.com,24,77,215
25,Krishna,a15@gmail.com,25,82,220
26,Udit,a16@gmail.com,21,62,221
27,Tanmay,a17@gmail.com,24,78,219
28,Tarun,a18@gmail.com,25,82,222
29,Divya,a19@gmail.com,24,77,219
30,Rohit,a20@gmail.com,22,90,NULL
31,Jatin,a21@gmail.com,21,89,NULL
32,Siddharth,a22@gmail.com,25,73,NULL
